Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Marlborough JW,Harker AA,Gordon Krauss,Neg,28.7,29.2
Greenhill DM,Waring MB,Daniel Medina,Aff,29.5,29.4
Peninsula XB,Lynbrook AS,Valerie Li,Neg,29.1,29.2
Harker AS,Peninsula SU,Sarah Martin,Neg,29.3,29.8
Loyola ED,Marlborough SW,Tyler Thur,Aff,29.3,28.8
Peninsula EC,Canyon Crest CD,Shania Hunt,Neg,28.0,28.5
Peninsula KT,Loyola MR,Joseph Barquin,Neg,28.4,28.6
Loyola AK,Immaculate Heart NH,Coralynn Yang,Neg,28.8,29.3
Lynbrook VV,Harker SS,Alyssa Lucas-Bolin,Neg,29.4,29.5
Barrington AC,Harker NB,Wyeth Renwick,Neg,29.3,29.4
Southlake Carroll SK,Riverside Independent SH,Ana Bittner,Neg,28.8,29.1
Awty International DR,Harker LL,Riley Rees,Neg,28.9,29.0
Immaculate Heart IZ,Marlborough AL,Shreeram Modi,Neg,28.7,29.0
Loyola EM,Immaculate Heart CM,Jonathan Meza,Aff,29.2,28.9
Lynbrook OM,Loyola JP,Rayeed Rahman,Aff,29.7,29.4
Peninsula LZh,Harker ASi,sam catapang,Neg,28.9,29.1
Peninsula ECh,OC Policy Association NC,Emmelyne Lay,Neg,28.7,29.2
Peninsula DN,Marlborough CS,Jackson Mills,Aff,29.3,29.2
Peninsula KH,Loyola TC,sam catapang,Neg,28.8,29.0
Palos Verdes SP,Monta Vista SC,Tania Vasquez,Neg,28.9,29.2
Greenhill AK,Sage Hill IH,Daniel Medina,Aff,29.3,29.1
Harker JS,Marlborough AM,Adam Mimou,Neg,29.3,29.5
Marlborough AK,Loyola UT,Valerie Li,Neg,29.1,29.3
Loyola RV,Riverside Independent OT,Tyler Thur,Aff,29.2,28.9
Immaculate Heart ES,Marlborough KM,Alyssa Lucas-Bolin,Neg,29.1,29.3
Immaculate Heart SH,Coppell KT,Gordon Krauss,Neg,28.6,29.3
Lynbrook BZ,Harker RG,Riley Reichel,Aff,29.5,29.4
Sonoma AM,Harker SD,Elizabeth Elliott,Neg,29.5,29.7
BASIS Scottsdale JV,Immaculate Heart OA,Sabeeh Mirza,Aff,28.7,28.8
Loyola WL,Pinewood CA,Anika Ganesh,Neg,28.4,28.6
Marlborough EP,BASIS Silicon Valley VP,Anish Bhadani,Neg,28.7,29.0
Peninsula LZ,Loyola JC,Joseph Barquin,Aff,28.4,28.0
Lynbrook SV,Riverside Independent PK,Jeremy Kim,Neg,28.4,28.5
Greenhill SK,Harker LC,Andrea Chow,Aff,29.6,28.9
BASIS Scottsdale AK,Peninsula GY,Elvis Pineda,Aff,29.0,28.9
Marlborough JK,Sage Hill LZ,Riley Rees,Neg,28.4,28.5
Harker TP,Lynbrook ST,Anish Bhadani,Neg,29.3,29.4
Loyola CK,Peninsula AU,Vontrez White,Neg,29.1,29.2
Marlborough SM,Lynbrook NM,Jared Burke,Neg,28.4,28.9
Marlborough DK,Los Gatos MS,Shania Hunt,Aff,28.7,28.2
Loyola TH,BASIS Scottsdale SS,Vontrez White,Neg,29.3,29.4
Flintridge Prep CX,Marlborough OO,Jared Burke,Neg,28.3,29.4
Marlborough LF,Harker JY,Anika Ganesh,Neg,28.8,28.9
Gunn SP,Peninsula JE,Patrick Fox,Aff,28.7,28.6
Marlborough SS,Peninsula AK,Allyson Spurlock,Neg,29.2,29.3
Loyola SC,Marlborough EF,Shreeram Modi,Neg,28.6,28.8
Stanford OHS ES,Peninsula JT,Elvis Pineda,Aff,29.0,28.9
Loyola KO,Geffen Academy of UCLA JP,Dylan Liu,Aff,28.8,28.6
Papaya Valley SK,Meadows TB,Molly Urfalian,Aff,28.9,28.8
Lynbrook VK,Mountain View AW,Adam Mimou,Neg,28.7,29.3
Palos Verdes CP,Harker AY,Joey Antonelli,Aff,29.8,29.0
Loyola JR,Ridgecrest EC,Annie Wood,Neg,27.8,28.5
Mountain View CS,Marlborough RB,Dylan Liu,Neg,28.5,29.0
Harker SSe,Troy Independent JK,Penelope Pressman,Aff,29.4,29.1
Sage Hill AJ,Awty International AZ,Ilan Boguslavsky,Neg,29.1,29.2
Immaculate Heart OG,Awty International RY,Jonathan Meza,Neg,28.6,28.8
Harker ID,Marlborough LS,Coralynn Yang,Neg,29.2,29.3
