Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Clear Lake RZ,Greenhill EX,Garrett Bishop,Aff,29.3,29.1
Greenhill MA,Interlake JP,Jack Quisenberry,Neg,30.0,29.4
Lynbrook BZ,Harvard-Westlake MR,Amanda Ciocca,Aff,29.9,29.1
Flintridge Prep CX,Harrison FW,Nine Abad,Aff,28.9,29.1
Evergreen Valley SK,Vestavia Hills VZ,Jordan Keller,Aff,29.8,29.7
Cary Acad RP,Loyola TH,Nigel Taylor-Ward,Aff,29.7,29.8
Iowa City West FH,Ridge HK,David McGinnis,Aff,29.0,28.8
Cary Acad LM,Greenhill AK,Chan Park,Neg,29.2,29.4
Marlborough LF,Greenhill VT,Adam Lipton,Neg,28.8,28.9
BASIS Scottsdale SS,Greenhill SK,Jacob Nails,Neg,29.1,29.5
Plano West SG,West HS SLC LM,Christian Bohmer,Aff,29.2,29.0
Wheatley AM,Syosset AP,Brooklynn Hato,Neg,28.7,28.8
Strake Jesuit  KS,Harker NB,Kush Vijapure,Neg,29.4,29.6
Harrison AN,Coppell KT,Eva Lamberson,Neg,28.9,29.4
Northern Valley AC,American Heritage Broward CM,Bodhi Rosen,Aff,30.0,28.2
McNeil NV,American Heritage Broward ZC,Bodhi Rosen,Neg,28.5,29.1
Barrington AC,Waring MB,Julian Kuffour,Neg,28.9,29.0
Memorial EJ,Plano West AR,Elizabeth Elliott,Neg,29.4,29.5
American Heritage Broward JX,Harker TP,Shreeram Modi,Neg,28.7,29.3
Horace Greeley CC,Marlborough OO,Jasmine Stidham,Neg,29.2,29.3
Little Rock Central GT,Lynbrook OM,Vontrez White,Neg,29.4,29.5
Sonoma AM,American Heritage Broward CA,Nigel Taylor-Ward,Neg,29.0,28.5
Mountain View AW,Sehome RS,Patrick Fox,Aff,28.8,28.2
Lake Highland Prep NA,Harker SD,Rodrigo Paramo,Aff,29.2,28.5
Greenhill DM,Langham Creek EY,Holden Bukowsky,Aff,29.0,28.9
Harker SS,Lynbrook VV,Stephen Lewis,Aff,29.5,29.3
Loyola UT,Marlborough LS,Christian Bohmer,Aff,29.3,29.3
Awty International DR,Holy Trinity Episcopal CH,Eliza Buckner,Aff,29.1,28.9
Harvard-Westlake AS,St Thomas CO,Michael Harris,Aff,29.4,29.2
Flintridge Prep IL,Cabot KB,Raunak Dua,Neg,29.6,29.7
Phillips Exeter ES,Cherry Hill HS East CR,Eric Schwerdtfeger,Aff,29.5,29.3
Harrison AG,Colleyville Heritage GM,Michael Harris,Neg,29.1,29.2
Horace Greeley SG,Lexington OO,Kumail Zaidi,Aff,29.4,29.3
Peninsula SU,Acton-Boxborough NK,Nick Loew,Aff,29.6,29.4
Horace Greeley AM,Edgemont AP,Jordan Keller,Aff,29.6,29.0
Northland Christian LM,Mountain Lakes EW,Vontrez White,Aff,29.3,29.2
Harvard-Westlake KM,Strake Jesuit  LC,Nick Loew,Neg,29.2,29.3
Harker AA,Immaculate Heart ES,Scott Phillips,Neg,28.9,29.2
Marlborough AM,McNeil AS,Shreeram Modi,Aff,29.4,29.3
Harvard-Westlake LS,Memorial AW,Ilan Boguslavsky,Aff,29.2,29.1
Isidore Newman DC,Monta Vista EY,Samantha McLoughlin,Neg,28.9,29.2
Millard North CB,Harker LC,Rodrigo Paramo,Aff,29.2,29.5
BASIS Silicon Valley JK,Harker ID,Elizabeth Elliott,Aff,29.3,29.0
West Des Moines Valley LS,Laurel CW,Vik Maan,Aff,27.1,27.0
Harker SSe,Head-Royce AJ,Johnny Stumpff,Neg,29.7,29.9
