Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Northern Valley AC,Harrison AN,Kumail Zaidi,Aff,29.1,28.7
McNeil NV,Harker TP,Chan Park,Neg,29.3,29.4
Flintridge Prep CX,Cabot KB,Jordan Keller,Aff,28.9,28.8
American Heritage Broward CA,Harker ID,Chan Park,Neg,29.4,29.8
Memorial EJ,Ridge HK,Stephen Lewis,Aff,29.3,29.2
St Thomas CO,Mountain View AW,Eva Lamberson,Aff,29.1,29.0
Wheatley AM,Lynbrook VV,Julian Kuffour,Neg,28.8,29.4
Marlborough AM,Greenhill MA,Ari Davidson,Aff,30.0,29.3
Millard North CB,Edgemont AP,Eric Schwerdtfeger,Aff,28.4,28.3
Laurel CW,Cherry Hill HS East CR,Jack Quisenberry,Neg,28.2,28.5
Marlborough OO,American Heritage Broward ZC,Holden Bukowsky,Neg,29.2,29.3
Harrison FW,Little Rock Central GT,Eric Schwerdtfeger,Neg,28.5,28.5
Evergreen Valley SK,Lexington OO,Tom Evnen,Aff,28.5,28.3
Waring MB,Greenhill SK,Brooklynn Hato,Neg,29.3,29.4
Plano West AR,Harvard-Westlake KM,David Asafu-Adjaye,Aff,29.2,29.1
Sonoma AM,Strake Jesuit  LC,Shreeram Modi,Neg,29.2,29.3
Coppell KT,Harker SS,Truman Le,Neg,29.3,29.4
Harker SD,Colleyville Heritage GM,Elizabeth Elliott,Aff,29.0,29.0
Lynbrook OM,Cary Acad LM,Samantha McLoughlin,Aff,29.5,28.6
Sehome RS,Marlborough LF,Shreeram Modi,Neg,28.7,28.9
Marlborough LS,Monta Vista EY,Julian Kuffour,Neg,29.2,29.3
Vestavia Hills VZ,Harvard-Westlake AS,Nigel Taylor-Ward,Neg,28.9,29.9
Mountain Lakes EW,Cary Acad RP,Anna Myers,Aff,28.7,28.6
Head-Royce AJ,Awty International DR,Vontrez White,Aff,29.5,29.4
Harvard-Westlake LS,Lake Highland Prep NA,Raunak Dua,Neg,29.5,29.3
West Des Moines Valley LS,Greenhill VT,Chetan Hertzig,Neg,29.2,29.3
Clear Lake RZ,Loyola UT,Amanda Ciocca,Aff,29.6,29.2
Strake Jesuit  KS,Horace Greeley CC,Jordan Keller,Aff,29.1,29.0
BASIS Scottsdale SS,Greenhill AK,Garrett Bishop,Aff,28.8,28.7
Syosset AP,Peninsula SU,Stephen Lewis,Neg,28.9,29.3
Horace Greeley SG,Plano West SG,Eliza Buckner,Neg,29.5,29.6
Horace Greeley AM,Harker AA,Mark Kivimaki,Neg,28.7,29.1
Barrington AC,Harker SSe,Gordon Krauss,Neg,28.9,29.1
Immaculate Heart ES,Greenhill DM,Curtis Ortega,Aff,29.5,29.4
Interlake JP,American Heritage Broward CM,Kush Vijapure,Neg,29.0,29.1
Harker NB,Isidore Newman DC,Ethan Greer,Neg,28.8,28.9
McNeil AS,BASIS Silicon Valley JK,Jack Quisenberry,Aff,29.9,29.5
American Heritage Broward JX,Langham Creek EY,Jacob Smith,Aff,29.0,28.9
Northland Christian LM,Loyola TH,Judah Jones,Neg,28.6,28.8
Memorial AW,Harvard-Westlake MR,Curtis Ortega,Neg,29.0,29.1
West HS SLC LM,Greenhill EX,Nigel Taylor-Ward,Neg,29.0,29.2
Phillips Exeter ES,Lynbrook BZ,Vontrez White,Neg,29.4,29.5
Iowa City West FH,Flintridge Prep IL,Michael Harris,Neg,29.2,29.3
Harker LC,Harrison AG,Truman Le,Aff,29.5,29.1
Acton-Boxborough NK,Holy Trinity Episcopal CH,Spencer Orlowski,Aff,28.8,28.7
