Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Little Rock Central GT,Greenhill EX,Ari Davidson,Neg,29.0,28.8
Langham Creek EY,St Thomas CO,Sean Wallace,Aff,29.3,28.9
Cabot KB,Harker NB,Holden Bukowsky,Neg,28.9,29.3
Plano West AR,Greenhill DM,Amanda Ciocca,Aff,29.5,29.4
Cary Acad RP,Coppell KT,Sachin Aggarwal,Neg,29.3,29.6
Harrison AN,Wheatley AM,Brian Manuel,Neg,28.5,28.6
Marlborough LS,Horace Greeley AM,Emilio Menotti,Neg,29.5,29.6
Harker SS,Clear Lake RZ,Jordan Keller,Aff,29.1,29.0
Phillips Exeter ES,Harker SD,Jacob Nails,Neg,29.3,29.5
Harvard-Westlake AS,Marlborough AM,Gordon Krauss,Neg,29.5,29.8
Peninsula SU,Greenhill VT,Ari Davidson,Aff,30.0,29.2
Holy Trinity Episcopal CH,Edgemont AP,Garrett Bishop,Aff,29.0,29.2
Lynbrook VV,Horace Greeley SG,Sophia Dal Pra,Neg,29.0,29.2
American Heritage Broward JX,Cherry Hill HS East CR,Kumail Zaidi,Neg,29.1,29.5
Waring MB,Colleyville Heritage GM,Judah Jones,Neg,29.4,29.7
Flintridge Prep IL,Sonoma AM,Amanda Ciocca,Neg,29.2,29.4
Strake Jesuit  LC,Marlborough LF,Christian Bohmer,Neg,28.2,29.0
Iowa City West FH,Isidore Newman DC,William Liu,Aff,29.2,29.1
Greenhill SK,Harker AA,Chris Castillo,Neg,29.2,29.3
American Heritage Broward ZC,Mountain View AW,Samantha McLoughlin,Neg,28.9,29.0
Northland Christian LM,Lynbrook BZ,Sophia Dal Pra,Neg,29.1,29.2
McNeil AS,Harrison FW,David Asafu-Adjaye,Neg,29.1,29.2
Harker ID,West HS SLC LM,David Dosch,Aff,28.8,28.7
Cary Acad LM,Greenhill MA,Garrett Bishop,Neg,28.9,29.4
Interlake JP,Lexington OO,Curtis Ortega,Neg,29.1,29.2
Memorial EJ,Lynbrook OM,Conner Shih,Neg,29.3,29.5
Barrington AC,Sehome RS,Jasmine Stidham,Aff,28.8,28.7
Harker TP,Flintridge Prep CX,Kumail Zaidi,Neg,28.6,28.7
Marlborough OO,McNeil NV,Samantha McLoughlin,Aff,29.2,29.1
Plano West SG,Head-Royce AJ,Nick Loew,Neg,29.6,29.7
BASIS Scottsdale SS,American Heritage Broward CM,Sophia Tian,Neg,29.1,29.3
Horace Greeley CC,Greenhill AK,Colton Gilbert,Neg,27.0,29.4
Strake Jesuit  KS,West Des Moines Valley LS,Bodhi Rosen,Aff,28.7,28.4
Syosset AP,Loyola TH,Ilan Boguslavsky,Neg,29.0,29.3
Evergreen Valley SK,Northern Valley AC,Sachin Aggarwal,Neg,29.2,29.3
Harvard-Westlake KM,Harrison AG,Shreeram Modi,Aff,29.4,29.3
Laurel CW,Mountain Lakes EW,Aidan Etkin,Neg,28.7,28.9
Vestavia Hills VZ,Ridge HK,Raunak Dua,Aff,29.4,29.1
Millard North CB,Immaculate Heart ES,Valerie Li,Aff,28.8,29.0
Awty International DR,BASIS Silicon Valley JK,Sean Wallace,Neg,29.3,29.4
Monta Vista EY,Harker SSe,Mark Kivimaki,Neg,29.1,28.9
Memorial AW,Loyola UT,Brooklynn Hato,Neg,29.0,29.2
Acton-Boxborough NK,Harker LC,Elizabeth Elliott,Aff,29.4,29.2
Harvard-Westlake LS,American Heritage Broward CA,Truman Le,Aff,28.7,28.5
Lake Highland Prep NA,Harvard-Westlake MR,Chris Castillo,Aff,29.2,29.1
