Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Mountain Lakes EW,American Heritage Broward ZC,Jack Quisenberry,Neg,29.0,29.1
Harvard-Westlake MR,Iowa City West FH,Eva Lamberson,Neg,29.9,30.0
Mountain View AW,Greenhill SK,Clare Bradley,Neg,29.2,29.3
Harrison AG,Holy Trinity Episcopal CH,Judah Jones,Aff,29.7,29.5
Wheatley AM,Interlake JP,Adam Lipton,Aff,28.7,28.4
American Heritage Broward CA,Marlborough LS,Shreeram Modi,Neg,28.8,29.1
Loyola UT,Little Rock Central GT,Judah Jones,Neg,29.2,29.4
Greenhill VT,Harker SS,Mark Kivimaki,Neg,29.2,29.7
Ridge HK,Cary Acad LM,Reese Potash,Aff,29.0,28.9
Greenhill DM,Waring MB,Kumail Zaidi,Aff,28.3,28.0
Greenhill MA,Evergreen Valley SK,Jacob Nails,Aff,29.2,29.2
Northern Valley AC,Monta Vista EY,Tom Evnen,Neg,28.8,29.1
Colleyville Heritage GM,Harker TP,Aidan Etkin,Aff,29.3,29.1
Harrison FW,Cabot KB,Jasmine Stidham,Aff,29.6,29.4
Harker LC,Harvard-Westlake LS,Chris Castillo,Aff,29.3,29.2
Clear Lake RZ,Northland Christian LM,Emilio Menotti,Aff,29.5,29.1
Horace Greeley SG,Langham Creek EY,Rob Sosa,Aff,30.0,29.7
West Des Moines Valley LS,Syosset AP,Nigel Taylor-Ward,Aff,29.7,28.9
Loyola TH,Strake Jesuit  LC,Sean Wallace,Neg,29.2,29.3
St Thomas CO,Barrington AC,Spencer Swickle,Neg,29.2,29.3
Harker NB,Harvard-Westlake AS,Elizabeth Elliott,Neg,29.6,29.5
Lynbrook OM,Lake Highland Prep NA,Ilan Boguslavsky,Aff,29.5,29.3
West HS SLC LM,American Heritage Broward JX,Ben Saudek,Neg,28.7,28.9
Flintridge Prep CX,Lynbrook VV,Ilan Boguslavsky,Neg,29.0,29.4
Marlborough LF,Phillips Exeter ES,Patrick Fox,Neg,28.7,28.9
Sehome RS,Harrison AN,Conal Thomas-McGinnis,Aff,28.3,27.9
Isidore Newman DC,Memorial AW,Nick Loew,Aff,29.2,29.1
Marlborough AM,Millard North CB,Christian Bohmer,Aff,29.6,29.2
Edgemont AP,Laurel CW,Reese Potash,Neg,28.4,28.5
BASIS Silicon Valley JK,Harvard-Westlake KM,Gordon Krauss,Aff,29.3,29.2
Harker SD,Marlborough OO,David Dosch,Neg,29.3,29.4
Horace Greeley AM,Harker ID,Nigel Taylor-Ward,Neg,29.5,29.4
Immaculate Heart ES,Strake Jesuit  KS,Elizabeth Elliott,Aff,29.4,29.2
American Heritage Broward CM,McNeil AS,Sachin Aggarwal,Neg,29.6,29.7
Head-Royce AJ,Acton-Boxborough NK,Chan Park,Aff,30.0,29.9
Harker SSe,Plano West AR,Truman Le,Aff,29.5,29.4
Cherry Hill HS East CR,Horace Greeley CC,Scott Phillips,Neg,28.9,29.0
Coppell KT,Vestavia Hills VZ,Jacob Smith,Aff,29.5,29.1
Lynbrook BZ,Peninsula SU,Emilio Menotti,Neg,30.0,30.0
Greenhill EX,Memorial EJ,Ana Bittner,Neg,28.8,28.9
Greenhill AK,Cary Acad RP,David Asafu-Adjaye,Aff,29.6,29.0
Lexington OO,Awty International DR,Sophia Tian,Neg,28.5,29.4
Sonoma AM,BASIS Scottsdale SS,Kush Vijapure,Aff,29.4,29.0
McNeil NV,Flintridge Prep IL,David Asafu-Adjaye,Aff,28.9,28.8
Harker AA,Plano West SG,Truman Le,Aff,29.2,29.1
