Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Westlake MH,Southlake Carroll AB,Nathan Wei,Aff,29.1,28.2
Clear Lake CW,McNeil AS,Vincent Jumalon,Neg,29.4,29.6
Clear Lake RZ,Southlake Carroll IM,Kush Vijapure,Aff,29.5,29.4
Strake Jesuit  FB,Langham Creek LY,Anderson Hendrix,Neg,29.0,29.4
Woodlands Independent ML,Awty International RY,Will Davidson,Aff,28.0,28.0
Memorial BL,Southlake Carroll SK,Mingyi Chen,Aff,29.8,29.6
Oak Ridge EG,McNeil PP,Easton Peters,Aff,27.3,25.0
Sharks Independent KW,St Thomas CO,Chloe Wolf,Neg,29.9,30.0
McNeil NV,Memorial EJ,Daniel Lee,Neg,29.4,29.7
Bellaire LC,Phillips Exeter Independent JM,Vratin Mankidy,Aff,29.3,29.1
Colleyville Heritage CB,Awty International CX,Isaac Chao,Neg,28.4,28.6
