Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Brearley IL,Marlborough AK,Amanda Ciocca,Aff,29.8,29.4
Chaminade OS,MSTW Independent AP,Kushagra Mahajan,Neg,21.0,29.0
Heritage High AP,Los Alamos AS,Yalin Wang,Neg,26.0,28.0
Harrison JB,Woodlands Independent ML,Clayton Taylor,Neg,23.0,22.0
Little Rock Central YH,Bellevue Youth MT,Abigael Jakson,Aff,29.0,28.5
Walpole SP,Altamont MC,Jerenisha Funchess,Aff,30.0,29.0
BASIS Chandler AR,North Hollywood NV,Harish Gaggar,Aff,27.4,27.1
Harrison AN,Trinity Prep GP,Brixz Gonzaba,Aff,29.5,29.0
Edgemont SS,Isidore Newman SE,Gopal kumar,Neg,27.0,28.0
Mission San Jose ST,Jericho Unaffiliated LL,Devin Jiang,Neg,28.6,28.8
Equality Independent EW,OCSH Independent LZ,Lesly De Anda,Neg,29.0,29.3
BASIS Scottsdale SS,Westwood AU,Garrett Bishop,Aff,29.0,28.8
San Marino CJ,BASIS Scottsdale AK,Aman Jha,Neg,27.5,27.7
Able2Shine SL,Plano West RC,Joseph Barquin,Neg,28.6,28.9
Universe 7 TD,Harrison FW,Hao Wang,Aff,29.5,29.0
Memorial EJ,Hill SM,Lydia Aklilu,Aff,29.7,29.0
SD BZ,King DS,Vernon D'Mello,Aff,30.0,27.0
Ridge HK,Flintridge Prep ED,Sonali Nicola,Aff,29.4,28.0
Lynbrook AS,BASIS Silicon Valley YS,Saied Beckford,Aff,29.3,29.2
Peninsula JE,Edgemont AP,Kate Totz,Neg,29.3,29.7
Bellevue Youth AM,Lexington NP,James Jude,Neg,28.8,28.9
Marlborough AT,Pinewood CA,Brian Son,Neg,28.5,28.7
North Hollywood RL,Golden State KB,Michael Stewart,Aff,28.9,28.7
Veritas Independent TI,BASIS Scottsdale JV,Max Perin,Aff,29.1,29.0
Kent Denver CM,Barrington AC,Suhani Jampala,Aff,29.3,29.2
Coppell KT,Marlborough MF,Matt Cekanor,Aff,29.5,29.0
Hunter AC,Awty International AZ,Thangam Pillai,Neg,28.8,29.3
Colorado Academy Independent HJ,BASIS Silicon Valley VP,Ayman Badawy,Neg,29.2,29.3
Lincoln East SP,New Orleans Charter Science And Math DN,Haiping Wang,Aff,28.5,28.0
Altamont SB,Strake Jesuit  DV,Amanda Nobra,Aff,30.0,29.0
Dougherty Valley SL,Bellevue Youth KZ,David Guidry,Aff,28.8,28.4
Cary Acad AF,Dougherty Valley MJ,Jessica Vaisman,Neg,28.8,28.9
Research Triangle KP,Frazer JR,Jacob Kauffman,Aff,30.0,29.0
Iowa City West VD,Edgemont VS,Neha Vashistha,Neg,22.0,25.0
Monta Vista SC,Northern Valley AC,Misty Wang,Neg,28.7,29.1
Marlborough JW,Mission San Jose MW,Nishant Singh,Aff,26.0,24.0
Gunn SP,Golden State SL,Lina Guo,Neg,29.9,30.0
Danville Area DN,BASIS Chandler WI,Muzammil Mushtaq,Neg,28.0,29.0
Lynbrook RS,Cherry Hill HS East CR,Valorie Lam,Aff,29.3,28.9
Portola JL,Montgomery Blair OR,Denitsa Zvetkova,Neg,29.5,30.0
Strake Jesuit  SA,San Marino WC,Elizabeth Nicaj,Aff,29.3,29.1
BZ AA,Marlborough AL,Daniel Shi,Neg,29.9,30.0
Frazer LD,Dublin Independent SG,Gulom Narmuratov,Neg,29.4,29.5
Bothell MP,Equality Independent BJ,Shuxin Fan,Neg,27.5,29.0
Klein GS,Holy Trinity Episcopal CH,Jordan Berry,Neg,28.4,28.5
Clear Lake CW,Brophy KL,Sophia Dal Pra,Aff,29.1,28.8
Equality Independent SJ,Vanguard Independent SG,Nasir Farhat,Aff,29.8,29.6
Golden State IT,Ridge SK,Cyris Lim,Neg,27.2,28.8
San Marino VC,OCSH Independent AJ,Matthew Hayes,Neg,28.0,29.0
Lexington OO,Ardsley NN,Flora Zhu,Aff,28.9,28.8
West Windsor Plainsboro HS North NN,Golden State TR,Rukshan Perera,Aff,28.8,27.5
Stratford Prep AM,LAMP JL,Chansey Agler,Neg,27.0,28.4
City Honors JB,Stratford Prep IJ,Diego Arcos,Aff,29.4,28.8
Holy Trinity Episcopal AR,Awty International DR,Chloe Wolf,Neg,29.9,30.0
Strake Jesuit  MZ,Sophie B. Wright Institute Of Academic Excellence BP,Nicholas Ford,Aff,29.0,28.5
Lynbrook VK,Harrison SE,Andrei Nemoianu,Neg,27.3,27.7
Mission San Jose AS,Peninsula AU,Elvis Pineda,Aff,29.1,29.0
Golden State CW,Northwood NC,Lucky Chiniasye,Neg,29.0,29.5
Dougherty Valley PN,Harrison AG,Isaiah Salgado,Neg,28.8,28.9
New Orleans Charter Science And Math LD,Langham Creek LY,Rose Larson,Neg,28.3,29.0
Saratoga DR,Marlborough SM,Vipul Panchal,Neg,29.0,29.1
Brophy CC,Los Alamos EB,Aditi Chandra,Neg,26.0,28.0
Vanguard Independent AK,Lynbrook RT,Srivani Uppalapati,Aff,28.9,28.7
Meadows TB,Park Vista CN,Lydia Wang,Aff,29.0,28.7
West HS SLC KS,Greenhill MA,Bo Zeng,Neg,28.0,29.0
Regent Legacy LJ,Lake Highland Prep SM,Akshay Agarwal,Neg,27.5,28.2
Horace Greeley SG,Awty International RY,Briajia Levi,Aff,29.2,28.8
ADL VK,Horace Greeley AM,Sasha Morel,Neg,29.4,29.6
New Orleans Charter Science And Math JW,Dougherty Valley SV,Elizabeth Elliott,Neg,28.5,28.8
Bellevue Youth ZF,Princeton Day MW,Li Ding,Neg,28.5,28.2
Equality Independent JM,Southlake Carroll TB,Avery Wilson,Neg,28.4,28.7
Hamilton GJ,Lake Highland Prep SA,Rehan Martadinata,Aff,28.4,27.9
Maccabees RS,Harrison KI,Roy Brace,Aff,28.2,28.0
Lynbrook ST,Westridge YW,Ruiting Wu,Aff,29.5,29.2
Lexington RI,Golden State AB,Tahj Johnson,Neg,29.0,29.1
Harrison PB,Clovis North ID,Leah Clark-Villanueva,Aff,29.2,29.0
Millburn VS,Southlake Carroll SK,Carlye Sanchez,Neg,27.0,26.0
Charlottesville ZF,Dougherty Valley NM,Pranjal Verma,Neg,28.8,29.0
Memorial BL,Horace Greeley CC,Cyrus Jackson,Aff,29.1,29.0
Phillips Exeter Independent TH,American SS,Jiao Jiao,Neg,28.8,28.9
Brophy VW,Sharks Independent KW,Haiet Ashar,Neg,27.9,28.9
Gunn CH,Southlake Carroll IM,Ananya Anand,Aff,29.4,27.4
Northview JZ,Marlborough SS,Colter Heirigs,Neg,28.8,28.9
Mustang SY,Berkeley Carroll JH,Donald Broussard,Neg,27.0,28.1
Strake Jesuit  EX,Research Triangle HF,Michael Harris,Aff,28.8,28.4
Altamont MF,Marlborough OO,Zoran Curgus,Aff,29.6,29.5
American Heritage Palm Beach NI,Vanguard Independent HK,Scott Brown,Aff,29.1,29.0
Bellevue Youth MY,Altamont WM,Katie DeBois,Neg,27.5,27.6
