Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Lake Highland Prep SA,West HS SLC KS,Lucky Chiniasye,Aff,28.5,28.0
New Orleans Charter Science And Math LD,Bellevue Youth AM,Molly Wladis,Aff,28.0,27.9
Dougherty Valley PN,Peninsula JE,Chansey Agler,Neg,29.0,29.2
LAMP JL,Walpole SP,Jacob Kauffman,Aff,30.0,29.0
Meadows TB,MSTW Independent AP,Michael Harris,Neg,29.0,29.1
Brophy CC,Equality Independent EW,Vardhini Seeram,Aff,28.0,27.9
Lynbrook RT,Golden State TR,Jasmin Vicente,Aff,29.0,28.5
Awty International AZ,BASIS Scottsdale SS,Briajia Levi,Neg,29.2,29.5
Peninsula AU,Lake Highland Prep SM,Sasha Morel,Neg,28.6,28.8
American Heritage Palm Beach NI,North Hollywood RL,David Guidry,Aff,28.4,28.1
Altamont MF,Strake Jesuit  MZ,Elizabeth Nicaj,Aff,29.4,28.7
Clovis North ID,Mustang SY,Shivali Sharma,Neg,26.6,27.3
Gunn CH,Awty International DR,Andrei Nemoianu,Aff,28.6,28.4
Marlborough SS,Princeton Day MW,Carlye Sanchez,Neg,27.4,27.0
Sharks Independent KW,Southlake Carroll TB,Chloe Wolf,Aff,30.0,29.9
Klein GS,Stratford Prep IJ,Grant Brown,Aff,28.6,28.3
Dougherty Valley NM,Ridge SK,Garrett Bishop,Neg,28.5,28.6
Harrison FW,Strake Jesuit  DV,Colter Heirigs,Aff,28.7,28.5
Horace Greeley CC,Los Alamos EB,Anthony Berryhill,Aff,30.0,28.0
BASIS Chandler AR,Park Vista CN,Jordan Berry,Aff,28.0,29.0
Able2Shine SL,Bellevue Youth MY,Abigael Jakson,Neg,28.5,29.0
Jericho Unaffiliated LL,Pinewood CA,Avery Wilson,Neg,28.6,28.8
BASIS Chandler WI,Northview JZ,Michelle Luo,Aff,29.0,28.0
Altamont MC,Golden State AB,Joseph Barquin,Aff,28.6,28.5
Trinity Prep GP,Lynbrook ST,Ayman Badawy,Aff,29.3,29.4
Golden State KB,Millburn VS,Shuxin Fan,Neg,26.5,27.5
BASIS Scottsdale JV,Edgemont VS,Gopal kumar,Neg,28.0,29.0
Greenhill MA,King DS,Matthew Hayes,Neg,28.0,29.0
BASIS Silicon Valley VP,Harrison PB,Xin Zhao,Neg,28.5,28.6
Ardsley NN,Dublin Independent SG,Jason Paul,Aff,29.2,29.0
Lexington RI,Marlborough AT,Hao Wang,Aff,28.5,29.0
Ridge HK,Brophy KL,Raj Pattabi,Aff,29.0,28.8
Harrison AG,Edgemont AP,Roy Brace,Neg,28.0,28.6
Lynbrook VK,Westwood AU,Jerenisha Funchess,Neg,29.0,30.0
Northwood NC,San Marino WC,Lesly De Anda,Neg,29.9,29.5
Charlottesville ZF,Flintridge Prep ED,Katie DeBois,Neg,27.2,27.1
Golden State KS,Phillips Exeter Independent TH,James Jude,Neg,29.4,29.5
Marlborough OO,SD BZ,Martin Klein,Aff,29.4,26.5
New Orleans Charter Science And Math DN,Saratoga DR,Subrata Saharoy,Neg,28.0,28.1
Universe 7 TD,Memorial BL,Diego Arcos,Neg,29.0,29.6
West Windsor Plainsboro HS North NN,North Hollywood NV,Gloria Jonathan,Aff,26.0,24.0
Bellevue Youth MT,Harrison KI,Haiping Wang,Neg,27.9,29.0
Montgomery Blair OR,Golden State SL,Bo Zeng,Neg,29.0,29.1
Horace Greeley SG,Kent Denver CM,Kate Totz,Neg,29.5,29.7
San Marino VC,Equality Independent JM,Brixz Gonzaba,Aff,30.0,29.0
Hill SM,Bellevue Youth ZF,Aditi Chandra,Aff,28.0,29.0
New Orleans Charter Science And Math JW,Regent Legacy LJ,Yalin Wang,Aff,26.0,24.0
Equality Independent SJ,ADL VK,Gilsun Yu,Neg,28.0,29.0
Marlborough AK,American SS,Vipul Panchal,Neg,29.1,29.2
Vanguard Independent HK,Edgemont SS,Harish Gaggar,Aff,27.4,27.2
Lynbrook AS,Horace Greeley AM,Suhani Jampala,Neg,29.3,29.4
BASIS Scottsdale AK,Memorial EJ,Max Perin,Neg,28.9,29.0
Westridge YW,Mission San Jose ST,Jiao Jiao,Aff,28.6,27.8
Lexington OO,OCSH Independent AJ,Valorie Lam,Aff,28.8,28.4
Harrison SE,San Marino CJ,Leah Clark-Villanueva,Aff,28.9,28.5
Holy Trinity Episcopal AR,Chaminade OS,Forest Werner,Aff,30.0,28.0
Harrison JB,Little Rock Central YH,Zoran Curgus,Aff,29.9,29.8
Heritage High AP,Golden State IT,Aman Jha,Aff,28.6,28.3
Barrington AC,Brearley IL,Elvis Pineda,Neg,29.4,29.6
BZ AA,Lexington NP,Uma Paleti,Aff,29.9,29.8
Equality Independent BJ,Berkeley Carroll JH,Devin Jiang,Aff,29.5,29.4
OCSH Independent LZ,Marlborough MF,Akshay Agarwal,Neg,29.0,29.2
Bothell MP,Vanguard Independent SG,Gulom Narmuratov,Aff,29.5,29.4
Stratford Prep AM,Frazer JR,Saied Beckford,Neg,27.9,28.0
Harrison AN,Southlake Carroll SK,Lydia Aklilu,Neg,29.9,30.0
Strake Jesuit  EX,Langham Creek LY,Sonali Nicola,Neg,28.8,29.0
Frazer LD,Lincoln East SP,Rose Larson,Neg,28.0,28.1
Altamont WM,Vanguard Independent AK,Hunter Harwood,Aff,29.5,27.5
Hunter AC,Sophie B. Wright Institute Of Academic Excellence BP,Lydia Wang,Aff,28.7,28.5
Isidore Newman SE,Awty International RY,Brian Son,Aff,29.1,28.7
Golden State CW,Danville Area DN,Matthew Chi,Neg,29.6,29.8
Bellevue Youth KZ,Marlborough SM,Scott Brown,Neg,29.0,29.8
Maccabees RS,Marlborough JW,Denitsa Zvetkova,Aff,30.0,29.5
Gunn SP,Mission San Jose AS,Amanda Ciocca,Aff,29.9,28.5
Strake Jesuit  SA,Monta Vista SC,Cyrus Jackson,Neg,29.7,29.8
Iowa City West VD,Portola JL,Isaiah Salgado,Aff,28.8,28.7
Lynbrook RS,Northern Valley AC,Amanda Nobra,Neg,29.0,30.0
Dougherty Valley SV,Research Triangle HF,Parvathy Mohan,Neg,28.5,30.0
BASIS Silicon Valley YS,Cherry Hill HS East CR,Daniel Shi,Neg,29.9,30.0
Plano West RC,Research Triangle KP,Ruiting Wu,Neg,29.2,29.5
Holy Trinity Episcopal CH,Marlborough AL,Donald Broussard,Aff,28.1,28.0
Mission San Jose MW,Dougherty Valley MJ,Kushagra Mahajan,Aff,28.0,27.0
City Honors JB,Dougherty Valley SL,Haiet Ashar,Aff,29.4,29.2
Veritas Independent TI,Altamont SB,Misty Wang,Neg,29.0,29.4
Southlake Carroll IM,Woodlands Independent ML,Cyris Lim,Neg,29.5,29.7
Colorado Academy Independent HJ,Los Alamos AS,Flora Zhu,Aff,27.5,29.5
Coppell KT,Clear Lake CW,Nicholas Ford,Aff,29.4,29.2
