Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Loyola MT,Marlborough CS,Dylan Liu,Aff,28.8,29.3
ILearn Education RC,Marlborough SM,Taryn Gonzalez,Neg,28.0,28.5
Geffen Academy of UCLA JP,Loyola CK,Sumeer Benawra,Neg,28.3,28.1
St Francis ZC,Marlborough SC,Ian Shone,Aff,29.2,28.7
Brentwood MF,Helix Charter LA,Platon Kryukov,Aff,30.0,29.9
Los Osos ZC,Harker SG,Simone Pisarik,Aff,28.9,28.8
Harker AS,Marlborough EF,Sarah Martin,Neg,29.0,28.9
Barrington AC,Polytechnic KK,Patrick Fox,Aff,29.2,28.8
Harvard-Westlake JT,Loyola TH,Shreeram Modi,Neg,29.1,29.3
Loyola TG,Marlborough EP,William Liu,Aff,29.4,29.0
Loyola ED,Marlborough LF,Marge Strong,Neg,28.6,29.3
Harvard-Westlake LS,Marlborough SS,Allyson Spurlock,Aff,29.4,29.2
Harker LX,Marlborough SK,Adam Mimou,Aff,28.9,28.8
North Hollywood RL,Harker LK,Jerome Herath,Aff,25.0,27.0
Flintridge Prep CX,Harker MS,Miranda Munguia,Aff,29.5,28.7
Loyola KO,Harker NB,Andrea Chow,Neg,28.0,29.3
Harker KA,Marlborough JK,Gracie Goebel,Neg,27.0,28.0
Harker LL,Marlborough AK,Elizabeth Su,Neg,29.3,29.4
St Francis WW,Marlborough CI,Yardley Rosas,Aff,28.5,28.2
ModernBrain JH,Harvard-Westlake AS,Lesly De Anda,Neg,29.9,30.0
Harvard-Westlake JW,Marlborough FM,Adam Mimou,Aff,29.2,29.0
North Hollywood GL,Immaculate Heart MD,Jerome Herath,Aff,27.0,27.9
Loyola RV,Harvard-Westlake KM,Shreeram Modi,Neg,29.3,29.5
Polytechnic ML,Harker JK,Sumeer Benawra,Neg,28.1,29.3
ModernBrain GH,Marlborough EL,Prakash Murali,Aff,29.5,29.0
Sequoyah PG,Immaculate Heart SH,Ivan Velazquez,Aff,29.0,27.0
Harker DD,Marlborough RB,Elizabeth Su,Neg,29.2,29.3
Harker ID,Argument Institute AP,Krizel Guansing,Aff,30.0,29.9
Fullerton Union AT,New Roads DK,Kaijun Ding,Neg,25.0,26.0
Loyola LA,Marlborough SMo,Austin Loui,Neg,28.9,29.4
San Marino KH,ADL VK,Jonathan Meza,Neg,28.9,29.1
Clear Lake SC,Polytechnic EH,Itai Klein,Neg,29.6,29.8
Cupertino HS Independent AS,Marlborough GC,Austin Loui,Aff,29.3,28.9
Blair NL,Immaculate Heart OA,Itai Klein,Aff,29.8,29.7
Harker LC,Immaculate Heart ES,Sabeeh Mirza,Aff,29.6,29.5
Pinewood CA,Marlborough DK,William Liu,Aff,28.9,28.8
Harker OH,Sharks Independent JD,Janiel Victorino,Neg,29.8,30.0
Loyola AK,Marlborough CSa,Claudia Ogarrio Hernandez,Aff,28.7,28.5
Clear Lake LL,Polytechnic RK,Ivan Velazquez,Neg,26.0,28.0
ModernBrain GC,Immaculate Heart AE,Jonathan Meza,Neg,28.7,29.3
Harker JA,Harvard-Westlake EG,Curtis Ortega,Neg,29.3,29.4
ILearn Education YY,Marlborough PS,Taryn Gonzalez,Neg,28.0,28.5
Troy Independent JK,Marlborough AM,Allyson Spurlock,Neg,29.0,29.2
ModernBrain DL,Marlborough SW,Prakash Murali,Aff,29.5,29.0
Harker AM,Immaculate Heart CM,Gracie Goebel,Neg,28.0,27.5
Harker EX,San Marino EC,Lesly De Anda,Aff,29.0,28.8
ModernBrain SP,Northwood NC,Joe Cobarrubio,Aff,28.5,28.0
Sequoyah EY,Loyola JC,Michael Harris,Neg,28.2,28.3
Los Gatos Independent MS,Marlborough KM,Patrick Fox,Aff,27.5,28.3
Lynbrook VV,Clear Lake CW,Vontrez White,Aff,29.5,29.4
Harker BF,ModernBrain JR,Curtis Ortega,Neg,28.9,29.2
Harker AK,Loyola UT,Riley Rees,Neg,28.5,29.0
Clear Lake RZ,Immaculate Heart CJ,Sabrina To,Aff,29.8,28.6
Harker AY,New Roads LC,Joe Cobarrubio,Neg,28.0,28.5
Harker SS,Marlborough CM,Simone Pisarik,Aff,29.5,29.0
Harker JC,ModernBrain CP,Miranda Munguia,Aff,29.0,28.5
Harker AP,Lynbrook NM,Ryan Koh,Aff,29.2,28.9
Sharks Independent KW,Marlborough MF,Ian Shone,Aff,29.4,28.9
Harker ASa,Sharks Independent WL,Riley Rees,Neg,29.2,29.6
Harker APu,Northwood JS,Norma Delgado,Aff,28.6,28.5
ModernBrain RZ,Palos Verdes KJ,Emilio Alban,Aff,27.5,29.0
Los Osos EL,Marlborough JG,Yardley Rosas,Aff,28.6,28.4
Brentwood SC,Immaculate Heart NH,Ryan Koh,Neg,28.6,28.9
Riverside Independent PK,Harvard-Westlake DB,Dylan Liu,Aff,29.0,29.5
Loyola EM,St Francis JC,Janiel Victorino,Aff,30.0,29.9
Monta Vista EY,Marlborough LS,Marge Strong,Aff,29.7,29.5
Harker RL,Marlborough AL,Sarah Martin,Aff,29.8,28.8
West AA,ILearn Education DS,Platon Kryukov,Aff,29.9,30.0
Northwood MV,New Roads KM,Emilio Alban,Aff,28.5,29.0
