Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
St Francis JC,Greenhill SK,Samantha McLoughlin,Neg,28.4,29.3
Meadows TB,Lynbrook AS,Scott Phillips,Aff,29.0,28.9
Edina AJ,West Des Moines Valley LV,Parker Klyn,Neg,28.3,28.5
Barrington AC,Bronx Science LS,Rose Larson,Neg,29.4,29.2
Strake Jesuit  AYa,Flintridge Prep IL,Mark Kivimaki,Neg,28.7,28.8
Avon SJ,Harvard-Westlake JT,Chetan Hertzig,Neg,28.5,28.8
Isidore Newman DC,McDowell GW,Frasat Chaudhry,Aff,28.5,28.0
Brophy MC,Harker NB,Elijah Smith,Neg,28.0,29.1
Westwood RN,Bronx Science CH,Jordan Keller,Aff,28.2,28.1
American Heritage Broward CM,Harvard-Westlake LS,Shreeram Modi,Aff,29.0,28.9
Marlborough RB,Isidore Newman JJ,Rodrigo Paramo,Aff,28.9,28.6
Trinity Prep CK,Memorial AW,Alexandra Mork,Neg,28.4,29.4
West Des Moines Valley DN,Trinity Prep SH,Jack Borman,Neg,28.3,28.0
Westwood AT,Flintridge Prep CX,Justin Wen,Aff,28.8,28.8
Harker TP,Strake Jesuit  KS,Shreeram Modi,Aff,29.3,28.9
Marlborough OO,Horace Greeley SG,Andrew Brandt,Neg,29.7,29.8
Edgemont VS,American Heritage Broward CB,Truman Le,Aff,28.1,28.0
Lake Highland Prep AW,Marlborough LF,Mark Kivimaki,Neg,28.5,29.2
Lake Highland Prep NA,Strake Jesuit  SR,Jack Borman,Aff,29.4,29.3
Greenhill EX,Altamont WM,Soohyuk Yoon,Aff,29.7,29.0
Hawken BM,Harvard-Westlake DB,Jack Gessner,Neg,29.9,28.9
Altamont MC,Brophy NR,Elizabeth Elliott,Neg,28.7,28.9
Monta Vista EY,American Heritage Palm Beach NI,Vontrez White,Aff,29.3,29.1
Harrison AGa,Marlborough AM,Joey Antonelli,Neg,29.4,29.8
Greenhill VT,Marlborough SMe,Alexandra Mork,Neg,28.7,28.9
William Fremd EF,Memorial EJ,Taylor Tsan,Neg,28.5,28.9
Memorial BL,Harker SSh,Jasmine Stidham,Neg,29.0,29.2
Harker RG,Isidore Newman SE,Chris Castillo,Aff,29.1,29.0
Edina VS,Westwood AS,Krizel Guansing,Aff,29.3,28.7
Greenhill AK,Apple Valley ZC,Tajaih Robinson,Aff,29.3,29.0
Altamont MF,Trinity Prep GP,Stephen Scopa,Neg,28.1,28.2
George Washington IF,Westwood TG,Chris Gentry,Neg,28.5,28.8
Edgemont AG,Harker LL,Alex Pulcine,Neg,28.9,29.1
West Des Moines Valley JC,Lynbrook BZ,Nathan Weimar,Neg,28.8,29.3
Bronx Science KL,West Des Moines Valley LS,Chris Castillo,Neg,29.0,29.2
Brophy AM,Harker SS,Michaela Northrop,Neg,28.0,29.5
Westwood DR,Pine View PB,Taylor Tsan,Neg,28.5,28.6
West Des Moines Valley AM,St Luke's SM,Michael Harris,Neg,28.5,28.6
Horace Greeley CC,Harvard-Westlake KM,Chetan Hertzig,Neg,29.0,29.2
American Heritage Broward ES,Lynbrook VV,Samantha McLoughlin,Neg,28.6,29.3
Altamont JS,Edina SJ,Rose Larson,Aff,28.6,28.5
Harker SD,Horace Greeley AM,Truman Le,Aff,29.7,29.3
Plano West NS,Harker AS,Avery Wilson,Aff,28.8,28.7
Harrison AN,Archbishop Mitty AM,Elizabeth Elliott,Aff,29.0,28.6
Newark Science AO,Flintridge Prep BM,Andrew Brandt,Aff,28.7,28.6
Strake Jesuit  LC,St Francis ZC,Jeremy Kim,Neg,29.1,29.2
Harrison FW,Harker AA,Harry Yu,Aff,29.6,29.5
Interlake AA,Marlborough CS,Aaron Kim,Neg,28.6,29.3
Marlborough FM,Theodore Roosevelt IR,Tyler Thur,Aff,28.7,28.5
Coppell KT,Harvard-Westlake MR,Elijah Smith,Aff,28.7,28.5
Strake Jesuit  JW,Harker LC,Ishan Rereddy,Neg,28.9,29.1
Edgemont AP,Flintridge Prep OL,Ilan Boguslavsky,Neg,28.7,28.8
Monta Vista SC,Westwood DV,Jasmine Stidham,Neg,28.7,28.8
Marlborough KM,Greenhill DM,Scott Phillips,Neg,28.8,29.0
Barrington MR,Altamont SB,Dedeepya Rudraraju,Neg,28.5,29.2
Marlborough LS,Memorial CS,Gianna Ledesma,Aff,29.2,29.0
Marquette GY,Cary Acad PL,Nathan Weimar,Neg,28.9,29.3
American Heritage Broward SM,Westridge EK,Vratin Mankidy,Neg,28.5,28.7
Brophy VW,Westwood AV,Aaron Kim,Aff,29.4,28.7
St Luke's MW,Lynbrook OM,Tim Alderete,Neg,28.0,29.9
Kinkaid CM,Sonoma AM,Cyrus Jackson,Neg,29.4,29.5
Durham GW,Plano West SG,Avery Wilson,Neg,29.3,29.4
Harrison AG,American Heritage Broward MC,David McGinnis,Aff,29.2,27.6
Isidore Newman WC,Immaculate Heart ES,Joey Antonelli,Neg,28.6,29.9
Immaculate Heart NH,Plano West AR,Nick Loew,Neg,29.2,29.4
Lake Highland Prep CG,Marlborough JG,Justin Wen,Aff,28.8,28.8
