Pro,Con,Judges,Votes,Win
Germantown Friends LZ,Livingston NT,"John Dalzell																																						Robert Heinsen																																						Ryan Curran","Pro																															Pro																															Pro","3-0																															PRO"
West Windsor Plainsboro South MS,Stuyvesant LB,"Cale McCrary																																						Ali Fehmi																																						Aumrita Savdharia","Con																															Con																															Pro","2-1																															CON"
Millburn CW,Avenues: The World JY,"Lisa Prainito																																						Bob Shurtz																																						Akilan Sankaran","Pro																															Pro																															Pro","3-0																															PRO"
Christopher Columbus CR,Acton-Boxborough EK,"Lucas Powell																																						Judah Jones																																						Henry Anastasi-Scott","Con																															Con																															Pro","2-1																															CON"
Regis AL,Newton South LS,"Tiffany Foster																																						Charlie Walker																																						Denzel Bell","Con																															Con																															Con","3-0																															CON"
Harbinger XW,Delbarton LK,"Dessie Yang																																						Campbell Haire																																						Will Erard","Pro																															Pro																															Con","2-1																															PRO"
Regis MF,Potomac MS,"Eshkar Kaidar-Heafetz																																						Fruzsina Roka																																						Darshanik Aryal","Con																															Con																															Con","3-0																															CON"
Stuyvesant BD,Thomas S. Wootton PT,"Benjamin Redler																																						Aum Kendapadi																																						Sara Abbasi","Pro																															Con																															Con","2-1																															CON"
Lawrenceville MC,Millburn CT,"Dessie Yang																																						Campbell Haire																																						Will Erard","Pro																															Con																															Pro","2-1																															PRO"
Durham BH,Omega ZC,"Samantha Gerber																																						Vishal Surya																																						Zain Kapoor","Con																															Con																															Con","3-0																															CON"
Plano West AB,Avenues: The World CB,"Zach Dyar																																						Dylan Pope																																						Tamali Saha","Pro																															Pro																															Pro","3-0																															PRO"
National Debate Club (NDC) LL,Strake Jesuit  CN,"Aidan Dykstal																																						Dean Carman																																						Charlie Yeh","Pro																															Pro																															Pro","3-0																															PRO"
Lincoln-Sudbury RC,Princeton Independent SH,"Eshkar Kaidar-Heafetz																																						Fruzsina Roka																																						Darshanik Aryal","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  WL,Princeton Independent WT,"Jason Barton																																						Sheryl Kaczmarek																																						Kate Totz","Pro																															Con																															Pro","2-1																															PRO"
Newton South KL,Bronx Science MN,"Adam Wang																																						Henrina Zhang																																						Jaden Gillion","Con																															Pro																															Pro","2-1																															PRO"
Nightingale Bamford BS,Basis Langley Independent RC,"Cale McCrary																																						Ali Fehmi																																						Aumrita Savdharia","Con																															Con																															Con","3-0																															CON"
Ransom Everglades TM,VDA - Vancouver TZ,"Anna Zhang																																						Sienna Vaughn																																						Andrew Fostiropoulos","Con																															Con																															Con","3-0																															CON"
Milton Acad XC,Bergen WZ,"Arrman Kapoor																																						Bashir Eltyeb																																						Sahil Sood","Pro																															Pro																															Pro","3-0																															PRO"
Lexington SR,Strake Jesuit  HL,"Lucas Powell																																						Judah Jones																																						Henry Anastasi-Scott","Con																															Pro																															Con","2-1																															CON"
Arlington LC,Newton South LoSc,"Zach Dyar																																						Dylan Pope																																						Tamali Saha","Pro																															Con																															Pro","2-1																															PRO"
JR Masterman AS,Hunter TW,"Benjamin Redler																																						Aum Kendapadi																																						Sara Abbasi","Pro																															Con																															Pro","2-1																															PRO"
Palm Beach Independent PM,BASIS Phoenix GP,"Aidan Dykstal																																						Dean Carman																																						Charlie Yeh","Con																															Con																															Con","3-0																															CON"
CR North KV,Pittsburgh Central Catholic GA,"Samantha Gerber																																						Vishal Surya																																						Zain Kapoor","Con																															Con																															Pro","2-1																															CON"
Ridge SL,Germantown Friends PX,"Tiffany Foster																																						Charlie Walker																																						Denzel Bell","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science CC,Milton Acad WL,"Arrman Kapoor																																						Bashir Eltyeb																																						Sahil Sood","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  CM,Lexington SM,"Adam Wang																																						Henrina Zhang																																						Jaden Gillion","Con																															Con																															Pro","2-1																															CON"
Eden Prairie VD,Bergen TS,"Jason Barton																																						Sheryl Kaczmarek																																						Kate Totz","Pro																															Pro																															Pro","3-0																															PRO"
Lexington HH,Newton South TB,"Lichee Liu																																						Cristian Abarca																																						Rachel Rothschild","Pro																															Con																															Con","2-1																															CON"
Magnolia DL,Lincoln-Sudbury KA,"Lisa Prainito																																						Bob Shurtz																																						Akilan Sankaran","Con																															Con																															Con","3-0																															CON"
Bronx Science BM,Acton-Boxborough GW,"Anna Zhang																																						Sienna Vaughn																																						Andrew Fostiropoulos","Pro																															Con																															Con","2-1																															CON"
Dougherty Valley WB,Jasper HL,"Lichee Liu																																						Cristian Abarca																																						Rachel Rothschild","Pro																															Con																															Con","2-1																															CON"
McDowell DS,Browning RR,"John Dalzell																																						Robert Heinsen																																						Ryan Curran","Con																															Con																															Pro","2-1																															CON"
