Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Horace Greeley CC,Harker NB,Shreeram Modi,Neg,29.3,29.4
Harker LL,Lexington KZ,Chan Park,Aff,28.7,28.6
Lynbrook VV,Marlborough AL,Gordon Krauss,Aff,29.3,28.7
Harker LC,Gunn SP,Vishwa Charabuddi,Aff,29.4,29.5
Lynbrook BZ,Marlborough AKi,Ava Wegmann-Gatarz,Aff,29.3,28.6
Immaculate Heart OA,Marlborough OO,Sahngwie Yim,Neg,29.6,29.7
Peninsula SU,Marlborough FM,Adam Lipton,Aff,29.4,28.7
Immaculate Heart CM,Marlborough SMo,Conor Feldman,Neg,28.7,28.9
Peninsula JE,Harker SS,Kento Taylor,Neg,29.4,29.5
Lynbrook SV,Harker SD,Jared Shirts,Neg,29.0,29.4
Marlborough LS,Harker SG,David Dosch,Aff,29.1,29.0
Lassiter HA,Harker AA,Kento Taylor,Neg,29.0,29.4
Marlborough CS,Lynbrook OM,Brian Manuel,Neg,29.1,29.4
Marlborough LF,Edgemont AP,Julian Kuffour,Aff,29.4,29.1
Marlborough EPi,Harker JS,Ava Wegmann-Gatarz,Neg,28.7,28.9
Galloway CD,Harker EX,Vishwa Charabuddi,Neg,29.0,29.2
Horace Greeley SG,Harker AS,Chan Park,Aff,29.3,28.9
Harker SSe,Edgemont SS,Shreeram Modi,Aff,29.6,28.9
Harker TP,Lynbrook NM,Jared Shirts,Aff,29.3,29.1
Marlborough AM,Immaculate Heart NH,Tyler Thur,Aff,29.5,29.3
Marlborough SM,Immaculate Heart AE,Gordon Krauss,Neg,28.7,28.8
Marlborough SSh,Harker ID,David Dosch,Neg,29.0,29.1
Marlborough RBa,Immaculate Heart ES,Conor Feldman,Neg,28.9,29.0
Marlborough SW,Immaculate Heart CJ,Tyler Thur,Aff,28.7,28.6
Marlborough EF,Edgemont AG,Sahngwie Yim,Neg,28.8,29.6
Marlborough DK,Edgemont VS,Adam Lipton,Aff,28.9,28.6
