Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harker AA,Marlborough DK,Clay Stewart,Aff,29.5,29.2
Marlborough RBa,Lexington KZ,David Dosch,Neg,28.7,28.8
Edgemont AP,Harker ID,Chan Park,Neg,29.1,30.0
Harker NB,Marlborough LS,Conor Feldman,Aff,29.2,29.7
Marlborough AL,Immaculate Heart AE,Adam Lipton,Neg,28.7,28.8
Marlborough SW,Galloway CD,David Dosch,Neg,28.7,28.8
Lynbrook OM,Peninsula SU,Jared Shirts,Aff,29.9,29.8
Gunn SP,Harker SSe,Jacob Nails,Aff,29.3,29.0
Harker LC,Lynbrook VV,Adam Torson,Neg,28.9,29.1
Marlborough FM,Immaculate Heart NH,Conor Feldman,Neg,28.7,28.8
Marlborough AM,Edgemont AG,Adam Lipton,Aff,29.0,28.9
Harker AS,Marlborough SMo,Gordon Krauss,Aff,29.5,29.4
Harker LL,Immaculate Heart ES,Kento Taylor,Aff,29.5,29.4
Marlborough SSh,Edgemont VS,Tyler Thur,Aff,28.8,28.6
Immaculate Heart OA,Marlborough SM,Shreeram Modi,Neg,28.7,28.8
Horace Greeley SG,Harker TP,Kento Taylor,Aff,29.5,29.2
Lassiter HA,Marlborough AKi,Nick Loew,Neg,28.4,28.8
Lynbrook NM,Marlborough EPi,Gordon Krauss,Aff,28.8,28.7
Edgemont SS,Harker SG,Clare Bradley,Aff,28.7,28.6
Lynbrook BZ,Harker SS,Jacob Nails,Aff,29.3,29.2
Peninsula JE,Immaculate Heart CJ,Michael Harris,Aff,29.2,29.1
Harker RL,Horace Greeley CC,Chan Park,Neg,28.8,29.0
Lynbrook SV,Immaculate Heart CM,Tyler Thur,Aff,28.7,28.5
Harker JS,Marlborough CS,Shreeram Modi,Neg,29.2,29.3
Harker EX,Marlborough LF,Ava Wegmann-Gatarz,Neg,28.7,28.8
Harker SD,Marlborough OO,Ava Wegmann-Gatarz,Aff,29.7,29.6
