Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Immaculate Heart AP,Harvard-Westlake FS,Eric McCormick,Neg,29.0,29.1
BASIS Silicon Valley VP,Westwood AU,Adam Mimou,Neg,29.9,30.0
Harvard-Westlake JW,Marlborough MF,Ethan Chen,Aff,29.6,29.5
Peninsula SU,Interlake JP,Justin Wen,Aff,29.7,29.3
Loyola UT,Monta Vista SC,Christian Bohmer,Aff,29.2,28.8
Midtown HJ,Sharks Independent WL,Conner Shih,Neg,29.5,29.2
Barrington AC,Dougherty Valley NM,Michael Harris,Aff,30.0,28.7
ModernBrain RZ,Harker JA,Elodie Szlasa,Neg,28.5,28.9
St Francis JC,Vista Del Lago AS,DH Henderson,Aff,28.6,28.5
Marlborough ES,Peninsula KT,Bob Yang,Neg,29.5,29.8
Harker AP,Able2Shine MH,Gerard Grigsby,Aff,29.5,29.0
Harker ID,Archbishop Mitty AM,Ethan Greer,Aff,28.8,28.4
Harvard-Westlake TK,Immaculate Heart OG,Vansh Angi,Aff,29.0,28.8
ModernBrain AM,Pinewood CA,John Xu,Neg,28.0,28.5
Peninsula EE,Foothill Independent NK,Christopher Liu,Neg,28.2,28.8
Harker RL,Marlborough SW,Aneesh Pothuru,Aff,30.0,29.0
Harker SG,Loyola ED,Ethan Greer,Neg,28.6,29.3
Lynbrook ST,Marlborough RB,Mark Kivimaki,Neg,28.5,29.1
Harvard-Westlake AS,Harker LL,Simone Pisarik,Aff,29.6,29.5
Dougherty Valley TT,Polytechnic RK,Rumina Nizar,Aff,29.0,28.5
Harker TP,Marlborough OO,Kavin Kumaravel,Neg,28.9,29.1
ModernBrain JL,Fairview PB,Rumina Nizar,Neg,28.5,29.0
Harker JC,Westwood AJ,John Boone,Neg,27.8,28.0
Peninsula WJ,Heritage High RL,Patrick Fox,Aff,28.6,28.4
Loyola RV,Polytechnic KK,Stephen Lewis,Aff,29.3,28.9
Harker AY,BASIS Silicon Valley JK,Michael Williams,Aff,28.5,28.0
Marlborough AK,Loyola TH,Conner Shih,Neg,29.2,29.3
Marlborough SC,Isidore Newman MM,Akshit Aireddy,Neg,27.0,28.0
Harker LX,Gunn EE,Jeff Zhang,Neg,28.8,29.0
Lynbrook BZ,Harker SD,Mark Kivimaki,Neg,29.4,29.5
Riverside Independent OT,Bakersfield NC,Jyoti Balaji,Aff,29.0,28.5
Vista Del Lago NS,Flintridge Prep ED,Alexia Gallon,Neg,28.0,28.5
Harvard-Westlake LS,Westwood AP,Mark Martinez,Aff,29.4,29.0
Lynbrook SV,Sharks Independent JD,Vontrez White,Neg,29.3,29.4
Loyola MR,Presentation CC,DH Henderson,Neg,28.8,28.9
ModernBrain GH,Sharks Independent KW,Sreenivasulu Kankanala,Neg,28.7,28.8
Immaculate Heart SH,Harvard-Westlake EY,Michael Williams,Neg,28.5,29.5
Marlborough AL,Peninsula AK,Karis Hwang,Aff,29.0,27.0
Isidore Newman DC,Lynbrook VV,Christian Bohmer,Neg,29.1,29.4
Archbishop Mitty CP,Westwood AV,Wendy C,Neg,29.5,28.0
Harvard-Westlake EO,Lynbrook RS,Alexia Gallon,Neg,28.0,28.1
Golden State KS,San Marino RL,Zaid Umar,Aff,28.3,28.0
Immaculate Heart AE,Marlborough EP,Adam Mimou,Aff,30.0,29.9
ModernBrain DL,Westwood SM,Kyle Quinlan,Aff,28.5,28.0
Archbishop Mitty NM,Westwood DR,Reethu Jose,Aff,28.9,28.6
Monta Vista EY,Harker SS,Sai Karavadi,Neg,29.3,30.0
Fairview MK,Harker RG,Vasu Salver,Aff,28.9,28.8
