Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harker LX,Marlborough CS,Ben Cortez,Aff,29.1,29.2
Marlborough EP,Harker NB,Emmelyne Lay,Neg,29.2,29.6
Harker SD,Harvard-Westlake EG,Yardley Rosas,Aff,29.2,28.7
Immaculate Heart CM,Marlborough ES,Daphne True,Neg,27.0,28.0
Cypress AM,ILearn Education DS,Hongmei Wang,Aff,29.6,29.5
Harker EX,Marlborough OO,Norma Delgado,Aff,29.3,29.2
Marlborough JG,Immaculate Heart AL,Marshall Green,Aff,28.5,28.1
Harker BF,Marlborough DK,Adarsh Agrawal,Neg,29.1,29.4
Harker ASa,Marlborough AK,Alliana Sherie Huerto,Aff,29.3,29.2
Harvard-Westlake EY,Immaculate Heart SP,Joseph Barquin,Aff,28.8,28.6
Sierra Canyon RZ,Marlborough FM,Jazmyn Luckett,Neg,28.7,28.8
Harker JY,Marlborough LF,Alliana Sherie Huerto,Neg,28.6,28.7
Immaculate Heart AP,Marlborough CM,Jazmyn Luckett,Neg,28.8,28.9
Immaculate Heart AE,Harker LL,Anirv Ayyala,Neg,28.9,29.0
Harvard-Westlake AS,Marlborough AM,Travis Cochran,Aff,29.5,29.3
Harker OH,Harvard-Westlake TK,Joseph Barquin,Neg,28.5,28.7
Meadows FR,Immaculate Heart CJ,Vontrez White,Neg,29.2,29.3
Immaculate Heart NO,Marlborough CSa,Daphne True,Neg,27.0,29.0
Marlborough SW,Harker RL,Matthew Stroud,Aff,29.5,29.3
Immaculate Heart OA,Harvard-Westlake EC,sam catapang,Aff,29.4,28.6
Immaculate Heart CD,Marlborough GC,Dhruva Sood,Neg,28.0,28.6
Harker LC,Harvard-Westlake JW,Elvis Pineda,Aff,29.6,29.5
Flintridge Prep CX,Harker AAh,Anirv Ayyala,Aff,29.4,29.0
Harker JS,Immaculate Heart ES,Max Perin,Neg,28.7,29.0
Marlborough SS,Harker JA,Adarsh Agrawal,Neg,29.3,29.4
Harker TP,Immaculate Heart NH,Max Perin,Aff,29.5,29.2
Gunn SP,Harvard-Westlake LS,Julian Kuffour,Neg,29.5,29.6
Harvard-Westlake MR,Harker RG,Elvis Pineda,Aff,29.5,29.3
Marlborough AL,Harker AY,Joe Cobarrubio,Neg,29.4,29.5
Immaculate Heart VM,Marlborough PS,Dhruva Sood,Neg,28.2,28.4
Harker ASi,Marlborough EF,Ning Zhuang,Aff,29.5,29.6
Harker JC,Immaculate Heart CO,sam catapang,Neg,29.0,29.3
Harvard-Westlake SB,Immaculate Heart ML,Clare Bradley,Aff,28.9,28.8
Marlborough SMo,Harker SG,Matthew Stroud,Neg,29.5,29.8
Harker MS,Immaculate Heart BB,Clare Bradley,Aff,28.9,28.7
Harker AS,Marlborough MF,Ben Cortez,Aff,29.2,28.9
